тѣхъ,-p---ml--i
же,---------n
лежааше,3siia----i
мъножьство,-s---nn--i
болѧштіхъ,-pppamg-wi
слѣпъ,-p---qgpsi
хромъ,-p---qgpsi
соухъ,-p---qgpsi
чаѭштеіхъ,-pppaqg-wi
двіженьѣ,-s---ng--i
водѣ,-s---fd--i
аглъ,-s---mn--i
бо,---------n
гнь,-s---mnpsi
на,---------n
вьсѣ,-p---na--i
лѣта,-p---na--i
мъіѣше,3siia----i
сѧ,3s---qa--i
въ,---------n
кѫпѣлі,-s---fl--i
і,---------n
възмѫштааше,3siia----i
водѫ,-s---fa--i
і,---------n
іже,-s---mn--i
пръвѣе,---------n
вълажаше,3siia----i
по,---------n
възмѫштені,-puppmn-si
водъі,-s---fg--i
съдравъ,-s---mnpsi
бъівааше,3siia----i
бѣ,3siia----i
же,---------n
тоу,---------n
етеръ,-s---mn--i
чкъ,-s---mn--i
г,---------n
і,---------n
з,-s---fa--i
лѣтъ,-p---ng--i
імъі,-sppaon-si
въ,---------n
недѫзѣ,-s---ml--i
своемъ,3s---ol--i
сего,-s---mg--i
відѣвъ,-supamn-si
іс,-s---mn--i
лежѧшта,-sppamg-si
і,---------n
разоумѣвъ,-supamn-si
ѣко,---------n
мънога,-p---napsi
лѣта,-p---na--i
юже,---------n
імѣаше,3siia----i
гла,3saia----i
емоу,3s---md--i
хоштеші,2spia----i
лі,---------n
жівъ,-s---mnpsi
бъіті,--pna----i
отъвѣшта,3saia----i
емоу,3s---md--i
недѫжьнъі,-s---mnpwi
еі,---------n
гі,-s---mv--i
чка,-s---mg--i
не,---------n
імамь,1spia----i
да,---------n
егда,---------n
възмѫтітъ,3spia----i
сѧ,3s---qa--i
вода,-s---fn--i
въвръжетъ,3spia----i
мѧ,1s---pa--i
въ,---------n
кѫпѣль,-s---fa--i
егда,---------n
же,---------n
пріхождѫ,1spia----i
азъ,1s---qn--i
інъ,-s---mn--i
прѣжде,---------n
мене,1s---qg--i
вълазітъ,3spia----i
гла,3saia----i
емоу,3s---md--i
іс,-s---mn--i
въстані,2spma----i
възъмі,2spma----i
одръ,-s---ma--i
твоі,2s---ma--i
і,---------n
іді,2spma----i
въ,---------n
домъ,-s---ma--i
своі,3s---ma--i
і,---------n
абье,---------n
цѣлъ,-s---mnpsi
бъіс,3saia----i
чкъ,-s---mn--i
і,---------n
вьзѧтъ,3saia----i
одръ,-s---ma--i
своі,3s---ma--i
і,---------n
хождаше,3siia----i
бѣ,3siia----i
же,---------n
сѫбота,-s---fn--i
въ,---------n
тъ,-s---ma--i
дьнь,-s---ma--i
глахѫ,3piia----i
же,---------n
іюдеі,-p---mn--i
іцѣлѣвъшоуемоу,-sppamd-wi
сѫбота,-s---fn--i
естъ,3spia----i
і,---------n
не,---------n
достоітъ,3spia----i
тебѣ,2s---qd--i
вьзѧті,--pna----i
одра,-s---mg--i
своего,3s---og--i
онъ,-s---mn--i
же,---------n
отъвѣшта,3saia----i
імъ,3p---md--i
іже,-s---mn--i
мѧ,1s---qa--i
сътворі,3saia----i
цѣла,-s---mgpsi
тъ,-s---mn--i
мьнѣ,1s---qd--i
рече,3saia----i
възъмі,2spma----i
одръ,-s---ma--i
твоі,2s---ma--i
і,---------n
ході,2spma----i
въпросішѧ,3paia----i
же,---------n
і,---------n
къто,-s---pn--i
естъ,3spia----i
чкъ,-s---mn--i
рекъі,-supamn-wi
тебѣ,2s---qd--i
възъмі,2spma----i
одръ,-s---ma--i
твоі,2s---ma--i
і,---------n
ході,2spma----i
ісцѣлѣвъі,-supamn-wi
же,---------n
не,---------n
вѣдѣаше,3siia----i
къто,-s---pn--i
естъ,3spia----i
іс,-s---mn--i
бо,---------n
оуклоні,2spma----i
сѧ,3s---qa--i
народоу,-s---md--i
сѫштоу,-sppamd-si
на,---------n
мѣстѣ,-s---nl--i
потомь,---------n
же,---------n
обрѣте,3saia----i
іс,-s---mn--i
въ,---------n
цркъве,-s---fl--i
і,---------n
рече,3saia----i
емоу,3s---md--i
се,---------n
цѣлъ,-s---mnpsi
есі,2spia----i
къ,---------n
томоу,-s---md--i
не,---------n
съгрѣшаі,2spma----i
да,---------n
не,---------n
горе,---------n
чьто,-s---na--i
ті,2s---md--i
бѫдетъ,3sfia----i
іде,3saia----i
же,---------n
чкъ,-s---mn--i
і,---------n
повѣдѣ,3saia----i
іюдѣомъ,-p---md--i
ѣко,---------n
іс,-s---mn--i
естъ,3spia----i
іже,-s---mn--i
мѧ,1s---qa--i
сътворі,3saia----i
цѣла,-s---mgpsi
і,---------n
сего,-s---ng--i
раді,---------n
гонѣхѫ,3piia----i
іс,---------n
іюдѣі,-p---mn--i
і,---------n
іскаахѫ,3piia----i
его,3s---mg--i
оубіті,--pna----i
зане,---------n
сі,-s---fn--i
творѣаше,3siia----i
въ,---------n
сѫботѫ,-s---fa--i
іс,-s---mn--i
же,---------n
отъвѣштавааше,3siia----i
імъ,3p---md--i
оць,-s---mn--i
моі,1s---mn--i
доселѣ,---------n
дѣлаетъ,3spia----i
і,---------n
азъ,1s---qn--i
дѣлаѭ,1spia----i
сего,-s---ng--i
раді,---------n
паче,-------c-i
іскахѫ,3piia----i
его,3s---mg--i
іюдеі,-p---mn--i
оубіті,--pna----i
ѣко,---------n
не,---------n
тъкъмо,---------n
разарѣше,3siia----i
сѫботѫ,-s---fa--i
нъ,---------n
і,---------n
оца,-s---mg--i
своего,3s---og--i
глаше,3siia----i
ба,-s---mg--i
равьнъ,-s---mapsi
сѧ,3s---qa--i
творѧ,-sppamn-si
бу,-s---md--i
отъвѣшта,3saia----i
же,---------n
іс,-s---mn--i
і,---------n
рече,3saia----i
імъ,3p---md--i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
не,---------n
можетъ,3spia----i
снъ,-s---mn--i
творіті,--pna----i
о,---------n
себѣ,3s---ql--i
нічесоже,-s---ng--i
аште,---------n
не,---------n
еже,-s---nn--i
відітъ,3spia----i
оца,-s---mg--i
творѧшта,-sppamg-si
ѣже,-p---nn--i
бо,---------n
онъ,-s---mn--i
творітъ,3spia----i
сі,-p---na--i
і,---------n
снъ,-s---mn--i
такожде,---------n
творітъ,3spia----i
оць,-s---mn--i
бо,---------n
любітъ,3spia----i
сна,-s---mg--i
і,---------n
вьсѣ,-p---na--i
покажетъ,3spia----i
емоу,3s---md--i
ѣже,-p---na--i
самъ,-s---mn--i
творітъ,3spia----i
і,---------n
больша,-p---nacsi
сі,-p---na--i
покажетъ,3spia----i
емоу,3s---md--i
дѣла,-p---na--i
да,---------n
въі,2p---qn--i
чоудіте,2ppia----i
сѧ,3s---qa--i
ѣко,---------n
бъ,-s---mn--i
оць,-s---mn--i
вьскрѣшаетъ,3spia----i
мрътвъіѧ,-p---mapwi
і,---------n
жівітъ,3spia----i
тако,---------n
і,---------n
снъ,-s---mn--i
егоже,-s---mg--i
хоштетъ,3spia----i
жівітъ,3spia----i
оць,-s---mn--i
бо,---------n
не,---------n
сѫдітъ,3spia----i
нікомоуже,-s---qd--i
нъ,---------n
сѫдъ,-s---ma--i
вьсь,-s---ma--i
дастъ,3spia----i
снові,-p---mn--i
да,---------n
вьсі,-p---mn--i
чьтѫтъ,3ppia----i
сна,-s---mg--i
ѣкоже,---------n
чьтѫтъ,3ppia----i
оца,-s---mg--i
іже,-s---mn--i
не,---------n
чьтетъ,3spia----i
сна,-s---mg--i
не,---------n
чьтетъ,3spia----i
оца,-s---mg--i
іже,-s---mn--i
і,---------n
посъла,3saia----i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
ѣко,---------n
слоушаѧі,-sppamn-wi
словесе,-s---ng--i
моего,1s---og--i
і,---------n
вѣрѫ,-s---fa--i
емлѧі,-sppamn-wi
посълавъшоуемоу,-sppamd-wi
мѧ,1s---qa--i
іматъ,3spia----i
жівота,-s---mg--i
вѣчьнаего,-s---ogpwi
і,---------n
на,---------n
сѫдъ,-s---ma--i
не,---------n
прідетъ,3spia----i
нъ,---------n
прѣідетъ,3spia----i
отъ,---------n
съмръті,-s---fg--i
въ,---------n
жівотъ,-s---ma--i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
ѣко,---------n
грѧдетъ,3spia----i
годіна,-s---fn--i
і,---------n
нъінѣ,---------n
естъ,3spia----i
егда,---------n
мрътві,-p---mnpsi
оуслъішѧтъ,3ppia----i
гласъ,-s---ma--i
сна,-s---mg--i
бжіѣ,-s---ogpsi
і,---------n
слъішавъшеі,-pupamn-wi
ожівѫтъ,3ppia----i
коже,---------n
бо,---------n
оць,-s---mn--i
жівотъ,-s---mn--i
іматъ,3spia----i
вь,---------n
себѣ,3s---ml--i
тако,---------n
дастъ,3saia----i
і,---------n
снові,-s---md--i
жівотъ,-s---ma--i
імѣті,--pna----i
вь,---------n
себѣ,3s---ql--i
і,---------n
область,-s---fa--i
дастъ,3saia----i
емоу,3s---md--i
і,---------n
сѫдъі,-p---ma--i
творіті,--pna----i
ѣко,---------n
снъ,-s---mn--i
чскъ,-s---mnpwi
естъ,3spia----i
не,---------n
дівіте,2ppma----i
сѧ,3s---qa--i
семоу,-s---md--i
ѣко,---------n
грѧдетъ,3spia----i
часъ,-s---ma--i
въ,---------n
ньже,-s---ma--i
вьсі,-p---mn--i
въходѧштеі,-pppamn-wi
въ,---------n
гробѣхъ,-p---ml--i
оуслъішѧтъ,3paia----i
гласъ,-s---ma--i
сна,-s---mg--i
бжіѣ,-s---ogpsi
і,---------n
ізідѫтъ,3ppia----i
сътворьшеі,-pupamn-wi
блага,-p---napsi
въ,---------n
въскрѣшенье,-s---na--i
жівотоу,-s---md--i
а,---------n
сътворьшеі,-pupamn-wi
зълаа,-p---napwi
въ,---------n
въскрѣшеніе,-s---na--i
сѫдоу,-s---md--i
не,---------n
могѫ,1spia----i
азъ,1s---qn--i
о,---------n
себѣ,3s---ql--i
творіті,--pna----i
нічесоже,-s---ng--i
ѣкоже,---------n
слъішѫ,1spia----i
сѫждѫ,1spia----i
і,---------n
сѫдъ,-s---mn--i
моі,1s---mn--i
правьдьнъ,-s---mnpsi
естъ,3spia----i
ѣко,---------n
не,---------n
іштѫ,1spia----i
волѧ,-s---fg--i
моеѧ,1s---fg--i
нъ,---------n
волѫ,-s---fa--i
посълавъшаего,-supamg-wi
мѧ,1s---qa--i
оца,-s---mg--i
аште,---------n
азъ,1s---qn--i
съвѣдѣтельствоуѭ,1spia----i
о,---------n
мьнѣ,1s---ql--i
съвѣдѣтельство,-s---nn--i
мое,1s---nn--i
нѣстъ,3spia----i
істінъно,-s---nnpsi
інъ,-s---mn--i
естъ,3spia----i
съвѣдѣтельствоуѧі,-sppamn-wi
о,---------n
мнѣ,1s---md--i
і,---------n
вѣмь,1spia----i
ѣко,---------n
істінъно,-s---nnpsi
естъ,3spia----i
съвѣдѣтельство,-s---nn--i
еже,-s---nn--i
съвѣдѣтельствоуетъ,3spia----i
о,---------n
мнѣ,1s---ql--i
въі,2p---qn--i
посъласте,2paia----i
къ,---------n
іоаноу,-s---md--i
і,---------n
съвѣдѣтельствова,3saia----i
о,---------n
істінѣ,-s---fd--i
азъ,1s---mn--i
же,---------n
не,---------n
отъ,---------n
чка,-s---mg--i
съвѣдѣтельства,-s---ng--i
пріемлѭ,1spia----i
нъ,---------n
сі,-p---na--i
глѭ,1spia----i
да,---------n
въі,2p---qn--i
спені,-puppmn-si
бѫдете,2pfia----i
онъ,-s---mn--i
бѣ,3siia----i
свѣтільнікъ,-s---mn--i
горѧ,-sppaon-si
і,---------n
свьтѧ,-sppaon-si
въі,2p---qn--i
же,---------n
хотѣсте,2paia----i
въздрадоваті,--pna----i
сѧ,3s---qa--i
въ,---------n
часъ,-s---ma--i
свьтѣніѣ,-s---ng--i
его,3s---mg--i
азъ,1s---qn--i
же,---------n
імамь,1spia----i
съвѣдѣтельство,-s---na--i
боле,-s---nacsi
іоаннова,-s---ngpsi
дѣла,-p---nn--i
бо,---------n
ѣже,-p---na--i
дастъ,3saia----i
мьнѣ,1s---qd--i
оць,-s---mn--i
да,---------n
съвръшѫ,1spia----i
ѣ,3p---na--i
та,-p---nn--i
дѣла,-p---nn--i
ѣже,-p---na--i
творѭ,1spia----i
съвѣдѣтельствоуѭтъ,3ppia----i
о,---------n
мьнѣ,1s---ql--i
ѣко,---------n
оць,-s---mn--i
мѧ,1s---qa--i
посъла,3saia----i
і,---------n
посълавъі,-supamn-wi
мѧ,1s---qa--i
оць,-s---mn--i
тъ,-s---mn--i
съвѣдѣтельствоуетъ,3spia----i
о,---------n
мьнѣ,1s---ql--i
ні,---------n
гласа,-s---mg--i
его,3s---mg--i
нікъдеже,---------n
слъішасте,2paia----i
ні,---------n
відѣніѣ,-s---ng--i
его,3s---mg--i
відѣсте,2saia----i
і,---------n
словесе,-s---ng--i
его,3s---mg--i
не,---------n
імате,2ppia----i
прѣбъіваѭшта,-sppang-si
въ,---------n
васъ,2p---ql--i
зане,---------n
егоже,-s---mg--i
тъ,-s---mn--i
посъла,3saia----i
семоу,-s---md--i
въі,2p---qn--i
вѣръі,-s---fg--i
не,---------n
емлете,2ppia----i
іспъітаіте,2ppia----i
кънігъі,-p---fa--i
ѣко,---------n
вь,---------n
ніхъ,3p---mg--i
мьніте,2ppia----i
імѣті,--pna----i
жівотъ,-s---ma--i
вѣчьнъі,-s---mapwi
і,---------n
тъі,-p---fn--i
сѫтъ,3ppia----i
съвѣдѣтельствоуѭштѧ,-pppafn-si
о,---------n
мьнѣ,1s---ql--i
і,---------n
не,---------n
хоштете,2ppia----i
пріті,--pna----i
къ,---------n
мнѣ,1s---md--i
да,---------n
жівотъ,-s---ma--i
імате,2ppia----i
славъі,-s---fg--i
отъ,---------n
чкъ,-s---mn--i
не,---------n
пріемлѭ,1spia----i
нъ,---------n
разоумѣхъ,1saia----i
въі,2p---qa--i
ѣко,---------n
любъве,-s---fg--i
бжіѧ,-s---fgpsi
не,---------n
імате,2ppia----i
вь,---------n
себѣ,3s---ql--i
азъ,1s---qn--i
прідъ,1saia----i
въ,---------n
імѧ,-s---na--i
оца,-s---mg--i
моего,1s---og--i
і,---------n
не,---------n
пріемлете,2ppia----i
мене,1s---qg--i
аште,---------n
інъ,-s---mn--i
прідетъ,3spia----i
въ,---------n
імѧ,-s---na--i
свое,3s---na--i
того,-s---mg--i
пріемлете,2ppia----i
како,---------n
въі,2p---qn--i
можете,2ppia----i
вѣроваті,--pna----i
славѫ,-s---fa--i
дроугъ,-s---qn--i
отъ,---------n
дроуга,-s---qg--i
пріемлѭште,-pppamn-si
і,---------n
славъі,-s---fg--i
ѣже,-s---fn--i
отъ,---------n
іночѧдаго,-s---mgpwi
бжіѣ,-s---mgpsi
не,---------n
іштете,2ppia----i
не,---------n
мьніте,2ppia----i
ѣко,---------n
на,---------n
въі,2p---qa--i
рекѫ,1spia----i
азъ,1s---qn--i
къ,---------n
оцоу,-s---md--i
естъ,3spia----i
іже,-s---mn--i
на,---------n
въі,2p---qa--i
речетъ,3spia----i
мосі,-s---mn--i
на,---------n
негоже,-s---mg--i
въі,2p---qn--i
оупъваете,3dpia----i
аште,---------n
бо,---------n
бісте,2ppsa----i
вѣрѫ,-s---fa--i
імалі,-pspamn-si
мосѣові,-s---md--i
вѣрѫ,-s---fa--i
бісте,2ppsa----i
ѧлі,-pspamn-si
і,---------n
мьнѣ,1s---qd--i
о,---------n
мнѣ,1s---ql--i
бо,---------n
тъ,-s---mn--i
спа,-s---ng--i
аште,---------n
лі,---------n
того,-s---mg--i
кънігамъ,-p---fd--i
вѣръі,-s---fg--i
не,---------n
емлете,2ppia----i
како,---------n
моімъ,1p---qd--i
гломъ,-p---md--i
вѣрѫ,-s---fa--i
імете,2ppia----i
по,---------n
сіхъ,-p---nl--i
же,---------n
іде,3saia----i
іс,-s---mn--i
на,---------n
онъ,-s---ma--i
полъ,-s---ma--i
морѣ,-s---ng--i
тіверіадьска,-s---ngpsi
по,---------n
немь,3s---ml--i
же,---------n
ідѣаше,3siia----i
народъ,-s---mn--i
мъногъ,-s---mnpsi
ѣко,---------n
відѣахѫ,3piia----i
знаменіѣ,-p---na--i
ѣже,-p---na--i
творѣаше,3siia----i
на,---------n
недѫжьнъіхъ,-p---qgpwi
възіде,3saia----i
же,---------n
на,---------n
горѫ,-s---fa--i
іс,-s---mn--i
і,---------n
тоу,---------n
сѣдѣаше,3siia----i
съ,---------n
оученікъі,-p---mi--i
своімі,3p---qi--i
бѣ,3siia----i
блізъ,---------n
пасха,-s---fn--i
праздьнікъ,-s---mn--i
іюдеіскъ,-s---mnpsi
вьзведъ,-supamn-si
же,---------n
очі,-d---na--i
іс,-s---mn--i
відѣ,3saia----i
ѣко,---------n
мъногъ,-s---mnpsi
народъ,-s---mn--i
грѧдетъ,3spia----i
къ,---------n
немоу,3s---md--i
гла,3saia----i
къ,---------n
філіпоу,-s---md--i
чімь,-s---ni--i
коупімъ,1ppia----i
хлѣбъі,-p---ma--i
да,---------n
ѣдѧтъ,3ppia----i
сіі,-p---mn--i
се,---------n
же,---------n
глаше,3siia----i
іскоушаѧ,-sppamn-si
і,---------n
самъ,-s---mn--i
бо,---------n
вѣдѣаше,3siia----i
чьто,-s---na--i
хотѧтъ,3ppia----i
сътворіті,--pna----i
отъвѣшта,3saia----i
емоу,3s---md--i
філіпъ,-s---mn--i
дьвѣма,-d---qi--i
сътома,-d---ni--i
пѣнѧзь,-p---mg--i
хлѣбъ,-p---mg--i
не,---------n
довьлѧтъ,3ppia----i
імъ,3p---md--i
да,---------n
кожьдо,-s---mn--i
іхъ,3p---mg--i
мало,-s---napsi
чьто,-s---na--i
прііметъ,3spia----i
гла,3saia----i
емоу,3s---md--i
едінъ,-s---mn--i
отъ,---------n
оученікъ,-p---mg--i
его,3s---mg--i
андреа,-s---mn--i
братъ,-s---mn--i
сімона,-s---mg--i
петра,-s---mg--i
естъ,3spia----i
отрочішть,-s---mn--i
сьде,---------n
едінъ,-s---mn--i
іже,-s---mn--i
іматъ,3spia----i
пѧть,-s---fa--i
хлѣбъ,-p---mg--i
ѧчьнѣнъ,-p---qgpsi
і,---------n
дьвѣ,-d---ra--i
ръібѣ,-d---fa--i
нъ,---------n
сі,-p---nn--i
чьто,-s---nn--i
сѫтъ,3ppia----i
вь,---------n
селіко,-s---na--i
рече,3saia----i
же,---------n
іс,-s---mn--i
сътворіте,2ppma----i
чкъі,-p---ma--i
вьзлешті,--pna----i
бѣ,3siia----i
же,---------n
трѣва,-s---fn--i
многа,-s---fnpsi
на,---------n
мѣстѣ,-s---nl--i
вьзлеже,3saia----i
оубо,---------n
мѫжь,-p---mg--i
чісломь,-s---ni--i
ѣко,---------n
пѧть,-s---fn--i
тъісѫшть,-p---fg--i
пріѧтъ,3saia----i
же,---------n
хлѣбъі,-p---ma--i
іс,-s---mn--i
і,---------n
хвалѫ,-s---fa--i
въздавъ,-supamn-si
подастъ,3saia----i
оученікомъ,-p---md--i
а,---------n
оученіці,-p---mn--i
вьзлежѧштеімъ,-pppamd-wi
такожде,---------n
і,3s---ma--i
отъ,---------n
ръібоу,-d---fg--i
еліко,---------n
хотѣахѫ,3piia----i
і,3s---ma--i
ѣко,---------n
насъітішѧ,3paia----i
сѧ,3s---qa--i
гла,3saia----i
оученікомъ,-p---md--i
своімъ,3p---qd--i
съберѣте,2ppma----i
ізбъітъкъі,-p---ma--i
оукроухъ,-p---mg--i
да,---------n
не,---------n
погъібнетъ,3spia----i
нікътоже,-s---pn--i
събърашѧ,3paia----i
же,---------n
і,---------n
ісплънішѧ,3paia----i
дъва,-d---ma--i
